l-base_x,l-base_y,l-base_z,l-base_error,l-base_ncams,l-base_score,l-edge_x,l-edge_y,l-edge_z,l-edge_error,l-edge_ncams,l-edge_score,l-middle_x,l-middle_y,l-middle_z,l-middle_error,l-middle_ncams,l-middle_score,r-base_x,r-base_y,r-base_z,r-base_error,r-base_ncams,r-base_score,r-edge_x,r-edge_y,r-edge_z,r-edge_error,r-edge_ncams,r-edge_score,r-middle_x,r-middle_y,r-middle_z,r-middle_error,r-middle_ncams,r-middle_score,M_00,M_01,M_02,M_10,M_11,M_12,M_20,M_21,M_22,center_0,center_1,center_2,fnum
-5.511582193804202,3.194980250709881,308.81741430256255,5.403900269061211,2.0,0.9933061599731445,-5.546731325827588,6.340045005922663,312.5735054199219,4.842174482577523,2.0,0.9889315366744995,-8.770846425391062,6.691278006426963,309.882191427645,1.3544798157430735,2.0,0.9933769702911377,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
-5.547238623930294,3.0313855503308575,309.02869354205444,5.013280670189154,2.0,0.99566650390625,-5.446144778276463,6.273277925409303,312.38465461055944,5.199047585219161,2.0,0.9886411428451538,-8.666995602967011,6.67600940138525,309.73786660711954,0.7994440497401191,2.0,0.9902126789093018,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
-5.545725935779134,3.072973046808386,308.9143926596186,4.81453847369926,2.0,0.9959667921066284,-5.463333757599418,6.304004366134794,312.2686213502889,4.666705488080745,2.0,0.9922661781311035,-8.698708278337127,6.683293153220086,309.7750489374632,1.1591529850147024,2.0,0.9922047257423401,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
-5.426727950432047,3.0743475541239507,308.5405372200476,4.4357073229683355,2.0,0.9969854354858398,-5.453750131925608,6.313181883364249,312.2665727588801,4.53569398200821,2.0,0.9900906085968018,-8.703167531117945,6.679814489552145,309.73182089205244,1.2482476362676094,2.0,0.992393970489502,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
-5.440963095496317,3.2696906790918225,308.45421074314845,4.641094349366591,2.0,0.9968416690826416,-5.453970481510121,6.362980620017002,312.24338115670014,4.355959833156465,2.0,0.9882783889770508,-8.694396261591002,6.707737499490042,309.6790381425362,1.2853706628526282,2.0,0.9889419674873352,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
-5.628052267280485,3.2786148767949332,308.764753447297,5.775709598108705,2.0,0.9934699535369873,-5.506389712078805,6.32589990574427,312.16922165385165,4.969067337765544,2.0,0.9931779503822327,-8.708394202757722,6.725025113769349,309.72896338373346,1.5240674291211427,2.0,0.9955506324768066,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5
-5.647037008439073,3.232222054982327,308.6874515429838,4.46425579398387,2.0,0.9922797679901123,-5.524711301975803,6.35824813087335,312.05319644774386,4.514278212429939,2.0,0.9893767833709717,-8.780350409213096,6.772031458929634,309.58747190650035,1.1954490722029103,2.0,0.9963078498840332,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6
-5.724161901260932,3.2164945454648866,308.70158188539784,4.226850541576792,2.0,0.9859145283699036,-5.624782461346644,6.395033761830632,312.2633727955675,4.717345357635869,2.0,0.9878389835357666,-8.83289842000556,6.77676917192728,309.7479616346396,1.3798946876518512,2.0,0.9941257834434509,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7
-5.814609771281363,3.301860069350289,308.2480234390214,4.216539944236775,2.0,0.9834179878234863,-5.667219694509119,6.420405831305448,312.2562574845013,4.412253282470836,2.0,0.9837131500244141,-8.840483018218908,6.765422953805848,309.626468724196,1.4597995232446888,2.0,0.9869599938392639,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
-5.8017269446344955,3.4553464314809323,308.2125010711754,6.474923112417754,2.0,0.9570660591125488,-5.644902957939677,6.374289920087736,312.4507009619427,5.102603920877175,2.0,0.9791432619094849,-8.876894958813315,6.750205155531009,309.58291122642015,0.8821720421765894,2.0,0.9814672470092773,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9
